genes or gene models annotated to only one Plant Ontology plant embryo development stage,,,,,,
"Arabidopsis thaliana, plant embryo globular stage (PO:0001185)","Arabidopsis thaliana, plant embryo bilateral stage (PO:0004507)","Arabidopsis thaliana, plant embryo cotyledonary stage (PO:0001078)","Arabidopsis thaliana,  mature plant embryo stage (PO:0001081)","Zea mays, plant proembryo stage (PO::0001180)","Zea mays,  plant embryo coleoptilar stage (PO:0001094)","Zea mays, plant embryo true leaf formation stage (PO:0001095)"
AT1G01010,AT1G01640,AT1G02460,AT1G08135,GRMZM2G000126,GRMZM2G004207,GRMZM2G000423   
AT1G01980,AT1G02310,AT1G02950,AT1G10160,GRMZM2G000380,GRMZM2G027958,GRMZM2G000625   
AT1G02400,AT1G03905,AT1G03720,AT1G22720,GRMZM2G000431,GRMZM2G032154,GRMZM2G000726   
AT1G02470,AT1G07485,AT1G05260,AT1G26700,GRMZM2G000743,GRMZM2G033433,GRMZM2G000736   
AT1G02790,AT1G08270,AT1G05370,AT1G32940,GRMZM2G001889,GRMZM2G041774,GRMZM2G000977   
AT1G02900,AT1G12210,AT1G05750,AT1G33870,GRMZM2G002225,GRMZM2G057955,GRMZM2G001168   
AT1G03050,AT1G12700,AT1G07130,AT1G36240,GRMZM2G002536,GRMZM2G063223,GRMZM2G001205   
AT1G03950,AT1G15380,AT1G07290,AT1G43680,GRMZM2G003167,GRMZM2G071720,GRMZM2G001363   
AT1G04540,AT1G16160,AT1G08430,AT1G47770,GRMZM2G003493,GRMZM2G072322,GRMZM2G001451   
AT1G04920,AT1G19610,AT1G08500,AT1G48820,GRMZM2G004480,GRMZM2G075229,GRMZM2G001462   
AT1G05300,AT1G20530,AT1G09740,AT1G49830,GRMZM2G004828,GRMZM2G079219,GRMZM2G001557   
AT1G05450,AT1G22570,AT1G10690,AT1G53640,GRMZM2G004909,GRMZM2G080354,GRMZM2G001560   
AT1G05680,AT1G22600,AT1G11290,AT1G55390,GRMZM2G005284,GRMZM2G082709,GRMZM2G001938   
AT1G06020,AT1G22830,AT1G12100,AT1G61260,GRMZM2G006062,GRMZM2G082959,GRMZM2G002396   
AT1G06800,AT1G26680,AT1G12620,AT1G62680,GRMZM2G007372,GRMZM2G083094,GRMZM2G002815   
AT1G07180,AT1G27610,AT1G14640,AT1G64070,GRMZM2G007475,GRMZM2G087507,GRMZM2G002894   
AT1G07300,AT1G32780,AT1G18810,AT1G68630,GRMZM2G007948,GRMZM2G093010,GRMZM2G003109   
AT1G08810,AT1G33500,AT1G20700,AT1G76530,GRMZM2G008326,GRMZM2G093418,GRMZM2G003138   
AT1G09155,AT1G36620,AT1G20780,AT2G04820,GRMZM2G008482,GRMZM2G096111,GRMZM2G003264   
AT1G09240,AT1G37140,AT1G20800,AT2G10690,GRMZM2G008627,GRMZM2G122706,GRMZM2G003769   
AT1G09370,AT1G48390,AT1G24290,AT2G23960,GRMZM2G008819,GRMZM2G124684,GRMZM2G004054   
AT1G09380,AT1G48980,AT1G26530,AT2G30660,GRMZM2G008892,GRMZM2G126496,GRMZM2G004690   
AT1G09575,AT1G49500,AT1G27590,AT2G37730,GRMZM2G009049,GRMZM2G127143,GRMZM2G004795   
AT1G10380,AT1G49960,AT1G30010,AT3G06280,GRMZM2G009792,GRMZM2G129713,GRMZM2G004971   
AT1G10550,AT1G51820,AT1G31430,AT3G14225,GRMZM2G009818,GRMZM2G135317,GRMZM2G005114   
AT1G10770,AT1G53700,AT1G35730,AT3G14640,GRMZM2G009869,GRMZM2G135456,GRMZM2G005825   
